,fleet1,fleet2,fleet3,fleet4,fleet5,fleet6
CAP,"{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}"
DEMAND,{None: 200},{None: 200},{None: 200},{None: 200},{None: 200},{None: 200}
D1,{None: 5},{None: 5},{None: 5},{None: 5},{None: 5},{None: 5}
D2,{None: 550.0},{None: 550.0},{None: 550.0},{None: 550.0},{None: 550.0},{None: 550.0}
PEN,"{1: 2000, 2: 2000, 3: 2000, 4: 2000}","{1: 2000, 2: 2000, 3: 2000, 4: 2000}","{1: 2000, 2: 2000, 3: 2000, 4: 2000}","{1: 2000, 2: 2000, 3: 2000, 4: 2000}","{1: 2000, 2: 2000, 3: 2000, 4: 2000}","{1: 2000, 2: 2000, 3: 2000, 4: 2000}"
PEND,"{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}"
RE,"{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}","{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}","{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}","{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}","{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}","{1: 131, 2: 141, 3: 155, 4: 165, 5: 172}"
REDA,{None: 155},{None: 155},{None: 155},{None: 155},{None: 155},{None: 155}
RR,"{1: 50, 2: 10, 3: 10, 4: 10, 5: 10}","{1: 6, 2: 8, 3: 10, 4: 10, 5: 10}","{1: 4, 2: 6, 3: 8, 4: 10, 5: 10}","{1: 10, 2: 10, 3: 10, 4: 8, 5: 6}","{1: 10, 2: 10, 3: 8, 4: 6, 5: 4}","{1: 20, 2: 1, 3: 1, 4: 0, 5: 0}"
VC,"{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}","{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}","{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}","{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}","{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}","{1: 20, 2: 35, 3: 50, 4: 60, 5: 70}"
avdn,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
avup,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
prob,"{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}","{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}","{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}","{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}","{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}","{1: 0.2, 2: 0.2, 3: 0.2, 4: 0.2, 5: 0.2}"
probTD,"{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}","{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}","{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}","{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}","{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}","{1: 0.8, 2: 0.6, 3: 0.4, 4: 0.2}"
probTU,"{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}","{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}","{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}","{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}","{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}","{1: 0.2, 2: 0.4, 3: 0.6, 4: 0.8}"
virtualcost,{None: 29},{None: 26},{None: 22},{None: 21},{None: 23},{None: 50}
VUB,{None:0},{None: 0},{None: 0},{None: 0},{None: 0},{None: 0.109}
VLB,{None: -10},{None: -10},{None: -10},{None: -10},{None: -10},{None: 0.109}
